wafer_id,thickness
W00000,"1,156"
W00001,"1,267"
W00002,"1,204"
W00003,"1,186"
W00004,"1,247"
W00005,"1,227"
W00006,"1,115"
W00007,"1,194"
W00008,"1,281"
W00009,"1,214"
W00010,"1,295"
W00011,"1,080"
W00012,"1,225"
W00013,"1,154"
W00014,"1,169"
W00015,"1,221"
W00016,"1,210"
W00017,"1,160"
W00018,"1,255"
W00019,"1,227"
W00020,"1,156"
W00021,"1,181"
W00022,"1,237"
W00023,"1,228"
W00024,"1,192"
W00025,"1,175"
W00026,"1,141"
W00027,"1,182"
W00028,"1,169"
W00029,"1,207"
W00030,"1,175"
W00031,"1,238"
W00032,"1,196"
W00033,"1,195"
W00034,"1,202"
W00035,"1,239"
W00036,"1,188"
W00037,"1,213"
W00038,"1,207"
W00039,"1,241"
W00040,"1,161"
W00041,"1,221"
W00042,"1,221"
W00043,"1,156"
W00044,"1,126"
W00045,"1,191"
W00046,"1,148"
W00047,"1,129"
W00048,"1,240"
W00049,"1,274"
W00050,"1,129"
W00051,"1,218"
W00052,"1,086"
W00053,"1,159"
W00054,"1,221"
W00055,"1,195"
W00056,"1,180"
W00057,"1,248"
W00058,"1,219"
W00059,"1,223"
W00060,"1,233"
W00061,"1,189"
W00062,"1,261"
W00063,"1,150"
W00064,"1,184"
W00065,"1,236"
W00066,"1,164"
W00067,"1,214"
W00068,"1,216"
W00069,"1,163"
W00070,"1,290"
W00071,"1,241"
W00072,"1,212"
W00073,"1,206"
W00074,"1,234"
W00075,"1,156"
W00076,"1,170"
W00077,"1,183"
W00078,"1,114"
W00079,"1,217"
W00080,"1,230"
W00081,"1,165"
W00082,"1,219"
W00083,"1,125"
W00084,"1,293"
W00085,"1,145"
W00086,"1,146"
W00087,"1,166"
W00088,"1,247"
W00089,"1,164"
W00090,"1,203"
W00091,"1,225"
W00092,"1,177"
W00093,"1,258"
W00094,"1,176"
W00095,"1,200"
W00096,"1,234"
W00097,"1,190"
W00098,"1,213"
W00099,"1,160"
W00100,"1,199"
W00101,"1,166"
W00102,"1,139"
W00103,"1,171"
W00104,"1,233"
W00105,"1,165"
W00106,"1,252"
W00107,"1,240"
W00108,"1,194"
W00109,"1,262"
W00110,"1,173"
W00111,"1,272"
W00112,"1,162"
W00113,"1,193"
W00114,"1,177"
W00115,"1,158"
W00116,"1,218"
W00117,"1,163"
W00118,"1,205"
W00119,"1,186"
W00120,"1,255"
W00121,"1,213"
W00122,"1,228"
W00123,"1,192"
W00124,"1,156"
W00125,"1,208"
W00126,"1,165"
W00127,"1,163"
W00128,"1,225"
W00129,"1,223"
W00130,"1,241"
W00131,"1,155"
W00132,"1,277"
