day,machine,temperature
2026-08-01,M1,99.9
2026-08-01,M2,100.32
2026-08-01,M3,99.91
2026-08-02,M1,99.87
2026-08-02,M2,99.87
2026-08-02,M3,99.91
2026-08-03,M1,100.44
2026-08-03,M2,100.53
2026-08-03,M3,100.41
2026-08-04,M1,100.1
2026-08-04,M2,100.64
2026-08-04,M3,100.07
2026-08-05,M1,99.33
2026-08-05,M2,100.94
2026-08-05,M3,100.2
2026-08-06,M1,100.2
2026-08-06,M2,100.04
2026-08-06,M3,99.3
2026-08-07,M1,99.64
2026-08-07,M2,100.65
2026-08-07,M3,100.12
2026-08-08,M1,99.98
2026-08-08,M2,101.17
2026-08-08,M3,99.74
2026-08-09,M1,100.12
2026-08-09,M2,101.24
2026-08-09,M3,99.74
2026-08-10,M1,100.69
2026-08-10,M2,101.42
2026-08-10,M3,100.48
2026-08-11,M1,99.75
2026-08-11,M2,101.02
2026-08-11,M3,99.86
2026-08-12,M1,99.96
2026-08-12,M2,101.69
2026-08-12,M3,100.1
2026-08-13,M1,99.82
2026-08-13,M2,101.18
2026-08-13,M3,99.79
2026-08-14,M1,100.49
2026-08-14,M2,101.36
2026-08-14,M3,100.1
2026-08-15,M1,100.17
2026-08-15,M2,101.2
2026-08-15,M3,100.02
2026-08-16,M1,100.52
2026-08-16,M2,101.11
2026-08-16,M3,99.87
2026-08-17,M1,99.96
2026-08-17,M2,101.71
2026-08-17,M3,100.2
2026-08-18,M1,99.98
2026-08-18,M2,101.57
2026-08-18,M3,100.33
2026-08-19,M1,100.27
2026-08-19,M2,102.66
2026-08-19,M3,100.58
2026-08-20,M1,100.14
2026-08-20,M2,102.45
2026-08-20,M3,99.48
2026-08-21,M1,100.25
2026-08-21,M2,102.28
2026-08-21,M3,99.82
2026-08-22,M1,99.49
2026-08-22,M2,102.25
2026-08-22,M3,99.79
2026-08-23,M1,100.52
2026-08-23,M2,101.95
2026-08-23,M3,99.42
2026-08-24,M1,100.1
2026-08-24,M2,103.46
2026-08-24,M3,100.23
2026-08-25,M1,99.24
2026-08-25,M2,101.99
2026-08-25,M3,100.14
2026-08-26,M1,99.71
2026-08-26,M2,102.67
2026-08-26,M3,100.39
2026-08-27,M1,100.44
2026-08-27,M2,103.3
2026-08-27,M3,100.1
2026-08-28,M1,100.17
2026-08-28,M2,104.0
2026-08-28,M3,100.25
