group,x,y,v
G01,0,0,0.500
G01,0,1,0.486
G01,0,2,0.390
G01,0,3,0.420
G01,0,4,0.476
G01,0,5,0.450
G01,1,0,0.426
G01,1,1,0.400
G01,1,2,0.392
G01,1,3,0.322
G01,1,4,0.390
G01,1,5,0.476
G01,2,0,0.470
G01,2,1,0.332
G01,2,2,0.300
G01,2,3,0.330
G01,2,4,0.322
G01,2,5,0.420
G01,3,0,0.440
G01,3,1,0.402
G01,3,2,0.270
G01,3,3,0.300
G01,3,4,0.392
G01,3,5,0.390
G01,4,0,0.436
G01,4,1,0.410
G01,4,2,0.402
G01,4,3,0.332
G01,4,4,0.400
G01,4,5,0.486
G01,5,0,0.450
G01,5,1,0.436
G01,5,2,0.440
G01,5,3,0.470
G01,5,4,0.426
G01,5,5,0.500
G02,0,0,0.450
G02,0,1,0.436
G02,0,2,0.440
G02,0,3,0.470
G02,0,4,0.426
G02,0,5,0.500
G02,1,0,0.476
G02,1,1,0.350
G02,1,2,0.342
G02,1,3,0.372
G02,1,4,0.440
G02,1,5,0.426
G02,2,0,0.420
G02,2,1,0.382
G02,2,2,0.250
G02,2,3,0.280
G02,2,4,0.372
G02,2,5,0.470
G02,3,0,0.390
G02,3,1,0.352
G02,3,2,0.320
G02,3,3,0.250
G02,3,4,0.342
G02,3,5,0.440
G02,4,0,0.486
G02,4,1,0.360
G02,4,2,0.352
G02,4,3,0.382
G02,4,4,0.350
G02,4,5,0.436
G02,5,0,0.500
G02,5,1,0.486
G02,5,2,0.390
G02,5,3,0.420
G02,5,4,0.476
G02,5,5,0.450
G03,0,0,0.500
G03,0,1,0.486
G03,0,2,0.390
G03,0,3,0.420
G03,0,4,0.476
G03,0,5,0.450
G03,1,0,0.426
G03,1,1,0.400
G03,1,2,0.392
G03,1,3,0.322
G03,1,4,0.390
G03,1,5,0.476
G03,2,0,0.470
G03,2,1,0.332
G03,2,2,0.300
G03,2,3,0.330
G03,2,4,0.322
G03,2,5,0.420
G03,3,0,0.440
G03,3,1,0.402
G03,3,2,0.270
G03,3,3,0.300
G03,3,4,0.392
G03,3,5,0.390
G03,4,0,0.436
G03,4,1,0.410
G03,4,2,0.402
G03,4,3,0.332
G03,4,4,0.400
G03,4,5,0.486
G03,5,0,0.450
